Determinant,MinA,Euler,A,B,C,0:00,0:01,0:02,0:03,0:01/23,0:02/13,0:03/12,1:00,1:01,1:02,1:03,1:01/23,1:02/13,1:03/12
-389,1,-388,1,0,-389,1867,1880,1867,1880,207,194,181,1880,1867,1880,1867,207,194,181
-389,1,-388,1,-1+1w,-388,1880,1867,1880,1867,181,194,207,1867,1880,1867,1880,181,194,207
-390,1,-448,1,0,-390,2400,2400,2400,2400,224,224,224,2400,2400,2400,2400,224,224,224
-390,3,-112,3,-2+1w,-129,412,412,412,412,56,56,56,412,412,412,412,56,56,56
-391,1,-704,1,0,-391,2806,2816,2806,2816,362,352,342,2816,2806,2816,2806,362,352,342
-391,1,-704,1,-1+1w,-390,2816,2806,2816,2806,342,352,362,2806,2816,2806,2816,342,352,362
-392,1,-448,1,0,-392,2322,2322,2322,2322,224,224,224,2322,2322,2322,2322,224,224,224
-393,1,-520,1,0,-393,2302,2298,2302,2298,256,260,264,2298,2302,2298,2302,256,260,264
-393,1,-520,1,-1+1w,-392,2298,2302,2298,2302,264,260,256,2302,2298,2302,2298,264,260,256
-394,1,-784,1,0,-394,3636,3636,3636,3636,392,392,392,3636,3636,3636,3636,392,392,392
-395,1,-320,1,0,-395,1710,1716,1710,1716,166,160,154,1716,1710,1716,1710,166,160,154
-395,1,-320,1,-1+1w,-394,1716,1710,1716,1710,154,160,166,1710,1716,1710,1716,154,160,166
